Group,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2
1,2216.641429,1854.332857,3080.892143,2099.712857,1187.619286,2933.095714,1364.022857,4213.927857,5987.31,4870.356429,2297.452143,4563.69,2491.356429,862.5235714,4001.262143,2383.142143,3006.261429,2146.094286,2613.905,819.335,1874.236429,311.5707143,2075.975,1869.772857,1353.166429,2312.332857,1178.665714,2772.811429,2906.951429,2143.487857,2596.857857
2,2784.720714,2775.007857,4433.605,2358.079286,1467.400714,3835.507857,1557.485,5415.841429,7992.46,6490.769286,3033.555,7072.911429,3564.959286,1076.686429,5877.437143,2769.078571,4340.794286,2633.840714,3038.626429,1105.268571,2955.698571,402.9371429,1725.555714,2424.412143,1787.673571,2907.674286,1618.102143,3219.711429,3905.245714,1894.412857,4325.818571
3,3274.590714,3145.898571,4992.089286,2554.493571,1387.755714,6695.160714,1999.707857,7792.946429,12548.32714,8670.303571,3642.945714,8178.995,5838.992143,1326.969286,10910.36214,4019.708571,4816.540714,2770.495,2716.898571,880.0185714,3379.303571,300.2792857,2333.945,3181.588571,1685.255714,2685.543571,1816.017143,4573.518571,5859.422857,3385.635714,6232.184286
4,3054.665,3024.712143,4925.069286,2551.736429,1529.188571,5965.832143,1784.903571,7086.761429,13184.23786,14410.99929,3567.212143,7564.641429,4765.830714,1236.546429,8903.642143,3856.355714,4424.379286,2884.832857,3337.117857,1043.177143,3195.118571,329.4742857,2067.974286,2827.581429,1627.831429,2919.831429,1709.997857,4044.64,5356.556429,3524.952143,4783.640714
5,3504.277143,3611.942143,5276.465714,2962.466429,1798.11,5505.514286,2026.895714,6861.634286,12587.13286,7309.418571,3265.395,6594.895714,5162.490714,2165.013571,8077.393571,4477.678571,4803.74,2967.582857,3421.489286,1133.561429,3570.347857,397.5614286,2397.560714,3148.048571,2057.632857,2929.977143,1779.132143,4449.680714,5762.371429,4718.752143,5407.347857
6,2391.246667,2543.002667,3735.536,2379.558667,5200.156,4420.78,1601.868667,5313.735333,9159.223333,5466.357333,2817.313333,6185.958,4258.244667,1190.268667,5993.824,3244.578667,3937.980667,2527.534667,2693.268667,1055.402667,2692.401333,354.9566667,1440.490667,2573.78,1381.934667,2458.846,1553.979333,3165.156667,5244.023333,2243.091333,4070.557333
7,2083.793571,2052.221429,3467.936429,2053.58,1347.055,2694.530714,1300.758571,3886.555714,6316.246429,5151.245,2593.532143,5565.485714,3200.554286,931.2928571,5320.817143,2516.269286,3323.221429,2132.078571,3107.127143,907.2464286,2210.793571,297.46,1456.127143,1898.223571,1466.602857,2324.817857,1299.268571,2839.292857,4156.603571,1868.175,3334.817143
8,2241.546429,2558.904286,3251.115714,1997.450714,1325.712857,3298.856429,1406.830714,4356.664286,6762.285,5861.021429,2681.642143,6167.117857,4702.998571,1151.474286,7327.355,2892.57,3521.522143,2014.546429,2099.260714,955.7121429,2494.331429,362.9978571,1675.570714,2177.462857,1485.902857,2109.047143,1433.712857,3418.784286,5203.546429,2479.902143,5050.665
9,2214.042143,2498.375714,3360.803571,2068.542143,2010.875,4737.613571,1382.482857,6609.447143,7974.542143,4405.351429,2111.827143,4685.399286,2977.636429,926.685,4847.589286,2521.541429,3755.279286,2186.9,2575.184286,833.3514286,2088.685714,347.2085714,1574.447857,2396.638571,1229.162143,1977.017857,1295.255,2531.352143,4926.352143,4550.161429,3289.470714
10,2331.305,2209.733571,3169.282143,3256.947857,1345.949286,3392.827857,1395.949286,4803.042857,6898.520714,5359.947857,2529.304286,5923.567857,3540.567143,984.5664286,5425.711429,2542.400714,3443.163571,2031.472143,2311.852143,936.0442857,2494.805714,353.2342857,1537.522143,2362.340714,1492.519286,2142.52,1371.925,2821.425,3968.043571,2601.353571,4043.852857
11,2331.305,2209.733571,3169.282143,3256.947857,1345.949286,3392.827857,1395.949286,4803.042857,6898.520714,5359.947857,2529.304286,5923.567857,3540.567143,984.5664286,5425.711429,2542.400714,3443.163571,2031.472143,2311.852143,936.0442857,2494.805714,353.2342857,1537.522143,2362.340714,1492.519286,2142.52,1371.925,2821.425,3968.043571,2601.353571,4043.852857
12,2224.048571,2098.166429,3262.309286,2166.975,1414.999286,2871.69,1391.63,4579.762857,6271.619286,4793.975714,2418.975714,5301.334286,3227,1009.904286,4578.095,2718.665,3653.689286,2217.332857,2657.572143,950.6192857,2359.332857,434.9528571,1474.095714,2214.273571,1396.62,2330.119286,1286.046429,7587.927857,4270.214286,1605.261429,3660.642857
13,2749.924286,2885.995714,4017.4,2516.378571,1650.592143,4614.687857,1798.400714,5725.329286,9618.687857,6884.567143,3138.185714,7622.449286,4792.853571,1304.734286,7709.520714,3556.829286,4477.52,2652.067143,2779.900714,1134.235714,3178.019286,374.5435714,1912.877143,2934.306429,1587.33,2740.710714,1726.449286,3926.092143,5916.425714,2634.401429,5064.305714
14,2700.611429,2670.589286,3986.517143,2519.801429,1620.778571,7841.587857,2143.231429,9703.85,14548.44357,5756.182857,2628.827143,6208.539286,4689.515714,1148.017143,6666.445,3437.778571,4420.372857,2369.230714,2204.230714,825.0871429,2992.611429,252.8014286,1388.065,2668.265714,1282.183571,2250.944286,1574.752857,3461.611429,5317.397143,2469.563571,4371.039286
15,2028.09,1593.137143,3173.588571,2121.16,2290.423571,1638.660714,1985.124286,3014.374286,4724.040714,4270.065,14452.51786,5166.708571,2764.732857,924.4228571,2857.852143,3310.422143,3529.589286,2148.161429,3543.089286,1263.992857,3610.827857,266.0178571,1257.898571,2042.399286,1188.279286,2046.494286,2803.637857,2420.541429,3784.684286,1117.065714,2600.945714
16,8775.175714,3117.081429,7720.198571,9038.152857,9133.461429,5297.960714,12156.65214,9395.794286,11103.795,12656.105,3031.009286,6038.962143,4838.225714,1951.867143,14927.105,9145.795,5751.985714,3278.747143,13642.05643,4698.747857,9135.818571,597.6292857,4732.009286,4476.877857,3935.866429,2822.2,11302.76,4187.342857,5328.128571,3353.771429,3531.270714